
SN,STATUS,ACCOUNT,Country,GROUP,PARENT COMPANY NAME,PARENT COMPNAY CODE,Plant Name,PLANT CODE,Site Name,X,SITE CODE,System SN,Model,
1,TFS-EU,THERMO,Albania,Antea,Antea Cement Company,#REF!,Antea Cement Company,#REF!,Fushe Kruje,01,#REF!,,CBX,
2,SL-PSA,SPECTRA,Algeria,Lafarge-Holcim,LafargeHolcim-Algeria,#REF!,"Lafarge-Algerian Cement Co, (LCM)",#REF!,Hydra-1,01,#REF!,821002,CBX,
3,SL-PSA,SPECTRA,Algeria,Lafarge-Holcim,LafargeHolcim-Algeria,#REF!,"Lafarge-Algerian Cement Co, (LCM)",#REF!,Hydra-2,02,#REF!,821003,CBX,
4,SL-PSA,SPECTRA,Algeria,Lafarge-Holcim,LafargeHolcim-Algeria,#REF!,Lafarge-Ciba Cement Company-(LCO),#REF!,Ciba Grey,01,#REF!,821083,CBX,
5,SL-PSA,SPECTRA,Algeria,Lafarge-Holcim,LafargeHolcim-Algeria,#REF!,Lafarge--CILAS cement SPA (CILAS),#REF!,Cilas,01,#REF!,,OMNI,
6,T&M,THERMO,Algeria,Biskaria,Biskaria Cement Spa,#REF!,Biskaria Cement Spa,#REF!,Biskeria-1,01,#REF!,823108,OMNI-N,
7,T&M,THERMO,Algeria,Biskaria,Biskaria Cement Spa,#REF!,Biskaria Cement Spa,#REF!,Biskara-2,02,#REF!,823109,OMNI-N,
8,T&M,THERMO,Algeria,Saoura,Société Saoura Ciments,#REF!,Société Saoura Ciments,#REF!,Bechar-1,01,#REF!,,OMNI-N,
9,T&M,THERMO,Algeria,Saoura,Société Saoura Ciments,#REF!,Société Saoura Ciments,#REF!,Bechar-2,02,#REF!,,OMNI-N,
10,NOT KNOWN,THERMO,Algeria,STG,STG Cement,#REF!,STG Cement,#REF!,Oliff,01,#REF!,,OMNI,
11,TFS-RSA,THERMO,Angola,ANGOLA,Cimenfort Industrial,#REF!,Cimenfort Industrial,#REF!,Cimenfort,01,#REF!,,OMNI,
12,SL-PSA,SPECTRA,Azerbaijan,NORM,Norm Cement Company,#REF!,Norm Cement Company,#REF!,Norm-1,01,#REF!,891119,OMNI,
13,SL-PSA,SPECTRA,Azerbaijan,NORM,Norm Cement Company,#REF!,Norm Cement Company,#REF!,Norm-2,02,#REF!,891120,OMNI,
14,SL-PSA,SPECTRA,Congo,Dangote,Dangote Cement-Congo,#REF!,Dangote Cement-Congo,#REF!,Congo,01,#REF!, ,OMNI,
15,TFS-RSA,THERMO,DR-CONGO,Nyumba,Nyumba Ya Akiba DRC,#REF!,Nyumba Ya Akiba DRC,#REF!,DRC,01,#REF!,891207,OMNI,
16,T&M,THERMO,Egypt,Lafarge-Holcim,Lafarge-Egyptian Cement Company ,#REF!,Lafarge-Egyptian Cement Company ,#REF!,ECC1,01,#REF!,820056,OMNI-R,
17,Decom,THERMO,Egypt,Lafarge-Holcim,Lafarge-Egyptian Cement Company ,#REF!,Lafarge-Egyptian Cement Company ,#REF!,ECC2,02,#REF!,820086,CBGN,
18,T&M,THERMO,Egypt,Lafarge-Holcim,Lafarge-Egyptian Cement Company ,#REF!,Lafarge-Egyptian Cement Company ,#REF!,ECC3,03,#REF!, ,OMNI,
19,T&M,SPECTRA,Egypt,Misr Beni Suef,Misr Beni Suef Cement Company,#REF!,Misr Beni Suef Cement Company,#REF!,MBCC1,01,#REF!,820082,CBGN,
20,T&M,SPECTRA,Egypt,Misr Beni Suef,Misr Beni Suef Cement Company,#REF!,Misr Beni Suef Cement Company,#REF!,MBCC2,02,#REF!,821128,CBX,
21,NOT WORKING,SPECTRA,Egypt,South Valley,Souht Vally Cement Company,#REF!,Souht Vally Cement Company,#REF!,SVCC,01,#REF!,821134,CBX,
22,TF-PSA,THERMO,Egypt,RAMLIYA,ACC-Ramliya Cement Company,#REF!,ACC-Ramliya Cement Company,#REF!,Ramliya,01,#REF!,825072,OMNI-R,
23,TF-PSA,THERMO,Egypt,AMREYAH,"Amreyah Cement Co.,Egypt",#REF!,"Amreyah Cement Co.,Egypt",#REF!,Amreyah,01,#REF!,826025,OMNI-R,
24,Decom,THERMO,Egypt,National,National Cement Company,#REF!,National Cement Company,#REF!,NCC,01,#REF!,820005,CBA,
25,NOT WORKING,SPECTRA,Ethiopia,Messabo,Messabo Cement Company,#REF!,Messabo Cement Company,#REF!,Messabo-1,01,#REF!,822218,OMNI,
26,NOT INSTALLED,SPECTRA,Ethiopia,Messabo,Messabo Cement Company,#REF!,Messabo Cement Company,#REF!,Messabo-2,02,#REF!,,OMNI,
27,SL-PSA,SPECTRA,Ethiopia,Dangote,DANGOTE- CEMENT-ETHIOPEA,#REF!,DANGOTE CEMENT-ETHIOPEA,#REF!,DC-ETHIOPIA 1,01,#REF!,,OMNI,
28,SL-I&C,SPECTRA,Ethiopia,Dangote,DANGOTE- CEMENT-ETHIOPEA,#REF!,DANGOTE CEMENT-ETHIOPEA,#REF!,DC-ETHIOPIA 2,02,#REF!,,OMNI,
29,NO GO ,NO GO ,Iran,Sarooj,Sarouj Busher Cement Company- Polysius,#REF!,Sarouj Busher Cement Company- Polysius,#REF!,Busher,01,#REF!,821064,CBX,
30,NO GO ,NO GO ,Iran,Shemal,Shemal Cement Company-VA Tech,#REF!,Shemal Cement Company-VA Tech,#REF!,Shemal,01,#REF!,821038,CBX,
31,Decom,NO GO ,Iran,El Tebbin,National Cement-IRAN,#REF!,National Cement-IRAN,#REF!,El Tebbin,01,#REF!,,CBA,
32,NO GO ,NO GO ,Iran,Khozestan,Karoon Cement Company,#REF!,Karoon Cement Company,#REF!,Khozestan,01,#REF!,,CBX,
33,NO GO ,NO GO ,Iran,Nahavand,Nahavand Cement Company,#REF!,Nahavand Cement Company,#REF!,Nahavand,01,#REF!,,CBX,
34,NO GO ,NO GO ,Iran,Lar,Sabzevar Cement Company,#REF!,Sabzevar Cement Company,#REF!,Lar,01,#REF!,,CBX,
35,NO GO ,NO GO ,Iran,Semnen,Shahrood Cement Company,#REF!,Shahrood Cement Company,#REF!,Semnen,01,#REF!,,CBX,
36,NO GO ,NO GO ,Iran,Bushehr,Kangan Cement,#REF!,Kangan Cement,#REF!,Bushehr,01,#REF!,,CBX,
37,SL-PSA,SPECTRA,Iraq,Lafarge-Holcim,Lafrage-Bazian Cement Company-Iraq,#REF!,Lafrage-Bazian Cement Company-Iraq,#REF!,Baizan,01,#REF!,821090,CBX,
38,NOT INSTALLED,SPECTRA,Iraq,Qarachog,KAR Cement Company,#REF!,KAR Cement Company,#REF!,Qarachog,01,#REF!,,OMNI,
39,TF-PSA-EXP,THERMO,Jordan,Lafarge-Holcim,Lafarge-Rashadiya Cement Plant,#REF!,Lafarge-Rashadiya Cement Plant,#REF!,Rashadiya-1,01,#REF!,821139,CBX,
40,TF-PSA-EXP,THERMO,Jordan,Lafarge-Holcim,Lafarge-Rashadiya Cement Plant,#REF!,Lafarge-Rashadiya Cement Plant,#REF!,Rashadiya-2,02,#REF!,821140,CBX,
41,NOT WORKING,THERMO,Jordan,Lafarge-Holcim,Lafarge-Fuhais Cement Plant,#REF!,Lafarge-Fuhais Cement Plant,#REF!,Fuhais-1,01,#REF!,821137,CBX,
